,Date,Unix,Ticker,Price,stock_p_change,SP500,sp500_p_change,Difference,DE Ratio,Trailing P/E,Price/Sales,Price/Book,Profit Margin,Operating Margin,Return on Assets,Return on Equity,Revenue Per Share,Market Cap,Enterprise Value,Forward P/E,PEG Ratio,Enterprise Value/Revenue,Enterprise Value/EBITDA,Revenue,Gross Profit,EBITDA,Net Income Avl to Common ,Diluted EPS,Earnings Growth,Revenue Growth,Total Cash,Total Cash Per Share,Total Debt,Current Ratio,Book Value Per Share,Cash Flow,Beta,Held by Insiders,Held by Institutions,Shares Short (as of,Short Ratio,Short % of Float,Shares Short (prior ,Current Price,Shares Outstanding,Status
298,N/A,N/A,msi,N/A,N/A,N/A,N/A,N/A,39.17,15.020028612303289,N/A,6.99,160780000.0,20.92,10.01,2870000000.0,39.17,16935936900.0,20350000000.0,15.02,2.80,3.19,12.13,6040000000.0,2870000000.0,1680000000.0,6.99,6.99,3.90,3.90,1170000000.0,7.47,4470000000.0,1.35,6.99,1350000000.0,0.38,0.31,89.79,7910000.0,10.37,4.71,7980000.0,104.99,161310000.0,N/A
299,N/A,N/A,mtb,N/A,N/A,N/A,N/A,N/A,35.89,22.163218390804598,N/A,1.93,25.77,44.97,1.16,8.60,35.89,29023266400.0,30300000000.0,14.79,1.74,5.55,13.46,5720000000.0,232610000.0,8320000000.0,1330000000.0,8.70,1.70,11.40,1180000000.0,44.19,8320000000.0,5460000000.0,100.05,1.70,0.97,6.01,78.83,96.3,0.37,0.00,29.5,192.82,150520000.0,N/A
300,N/A,N/A,mu,N/A,N/A,N/A,N/A,N/A,38.74,6.959375,N/A,2.29,32.77,37.67,16.77,41.51,20.81,51666400000.0,54810000000.0,5.18,0.16,2.37,4.25,20320000000.0,8439999999.999999,12900000000.0,7590000000.0,6.40,71.40,71.40,8150000000.0,5.34,9060000000.0,2.38,19.45,10650000000.0,1.83,4.36,86.08,53730000.0,1.63,5.17,52810000.0,44.54,1160000000.0,N/A
301,N/A,N/A,mur,N/A,N/A,N/A,N/A,N/A,63.12,25.693877551020407,N/A,0.94,163030000.0,9.97,1.30,1250000000.0,12.16,4345312600.0,6500000000.0,25.69,3.10,3.10,5.11,1810000000.0,1250000000.0,1270000000.0,0.98,0.98,12.80,12.80,600790000.0,5.59,2920000000.0,1.64,26.77,1130000000.0,2.66,5.96,105.19,5.96,0.00,0.00,5.96,25.18,172570000.0,N/A
302,N/A,N/A,myl,N/A,N/A,N/A,N/A,N/A,110.71,25.438271604938272,N/A,1.66,7.28,18.37,3.79,6.92,22.32,22106692400.000004,36130000000.0,7.63,2.14,3.03,9.31,11080000000.0,4700000000.0,3880000000.0,869200000.0,1.62,42.98,42.98,2049999999.9999998,1.42,14720000000.0,1.46,24.78,1920000000.0,1.39,5.64,83.32,24180000.0,4.61,5.10,24600000.0,41.21,536440000.00000006,N/A
303,N/A,N/A,nbl,N/A,N/A,N/A,N/A,N/A,75.95,35.96296296296296,N/A,1.50,481490000.0,N/A,2410000000.0,2410000000.0,8.55,14073576900.0,21170000000.0,35.96,16.09,5.43,11.93,3490000000.0,2410000000.0,1780000000.0,0.81,0.81,2.00,2.00,1350000000.0,1.16,7550000000.0,0.95,19.44,1720000000.0,1.11,1.14,98.99,1.14,0.00,0.00,1.14,29.13,483130000.0,N/A
304,N/A,N/A,nbr,N/A,N/A,N/A,N/A,N/A,135.24,2.7521367521367526,N/A,0.63,265630000.0,N/A,883540000.0,883540000.0,8.61,2047276000.0000002,5600000000.0,265630000.0,2.34,2.34,10.57,2230000000.0,883540000.0,529929999.99999994,2.34,2.34,27.40,27.40,531900000.0,0.77,3960000000.0,1.41,10.15,91030000.0,1.66,9.88,90.04,9.88,0.05,0.00,9.88,6.44,317900000.0,N/A
305,N/A,N/A,ndaq,N/A,N/A,N/A,N/A,N/A,71.46,18.272517321016167,N/A,2.24,18.51,27.14,4.49,12.97,23.83,13152117600.0,16780000000.000002,14.96,1.45,4.23,13.29,3570000000.0,2140000000.0000002,1260000000.0,4.33,4.33,5.20,5.20,1300000000.0,3.67,4210000000.0,1.05,35.27,5.20,0.64,19.45,80.05,2430000.0,1.95,2.09,2170000.0,79.12,166230000.0,N/A
306,N/A,N/A,ne,N/A,N/A,N/A,N/A,N/A,67.81,1.16231884057971,N/A,0.19,225820000.0,1.39,0.10,1380000000.0,5.27,982329700.0,4440000000.0,225820000.0,3.45,3.45,7.61,2300000000.0,1380000000.0,582980000.0,3.45,3.45,49.48,49.48,1130000000.0,2.48,4040000000.0,1.58,21.58,466990000.0,2.54,1.28,92.30,37980000.0,5.61,15.70,47440000.0,4.01,244970000.0,N/A
307,N/A,N/A,nee,N/A,N/A,N/A,N/A,N/A,118.93,13.33567662565905,N/A,2.53,31.28,34.81,3.98,19.41,36.68,71447090400.0,105780000000.0,18.20,2.24,6.15,12.28,16160000000.0,8720000000.0,8610000000.0,5380000000.0,11.38,121.00,8.40,6340000000.0,3.64,35080000000.0,0.64,59.89,6410000000.0,0.17,0.18,78.23,9.28,0.18,0.00,56.74,151.76,470790000.0,N/A
